Especie;Categoria_Ameaca;Legislacao
Dendrophorbium catharinense;VU;Portaria MMA N. 148/2022
Dendrophorbium paranense;EN;Portaria MMA N. 148/2022
Dimerostemma annuum;EN;Portaria MMA N. 148/2022
Dimerostemma episcopale;EN;Portaria MMA N. 148/2022
Dimerostemma grazielae;VU;Portaria MMA N. 148/2022
Dimerostemma myrtifolium;EN;Portaria MMA N. 148/2022
Disynaphia ericoides;EN;Portaria MMA N. 148/2022
Disynaphia praeficta;EN;Portaria MMA N. 148/2022
Disynaphia variolata;EN;Portaria MMA N. 148/2022
Echinocoryne echinocephala;EN;Portaria MMA N. 148/2022
Eremanthus arboreus;CR;Portaria MMA N. 148/2022
Eremanthus argenteus;EN;Portaria MMA N. 148/2022
Eremanthus auriculatus;VU;Portaria MMA N. 148/2022
Eremanthus brevifolius;CR;Portaria MMA N. 148/2022
Eremanthus ovatifolius;CR;Portaria MMA N. 148/2022
Eremanthus praetermissus;VU;Portaria MMA N. 148/2022
Eremanthus reticulatus;EN;Portaria MMA N. 148/2022
Eremanthus syncephalus;EN;Portaria MMA N. 148/2022
Eremanthus veadeiroensis;EN;Portaria MMA N. 148/2022
Fulcaldea stuessyi;CR;Portaria MMA N. 148/2022
Graphistylis cuneifolia;CR;Portaria MMA N. 148/2022
Heterocoma albida;CR;Portaria MMA N. 148/2022
Heterocoma ekmaniana;EN;Portaria MMA N. 148/2022
Heterocoma erecta;EN;Portaria MMA N. 148/2022
Heterocoma lanuginosa;EN;Portaria MMA N. 148/2022
Heterocondylus lysimachioides;VU;Portaria MMA N. 148/2022
Hoehnephytum almasense;EN;Portaria MMA N. 148/2022
Holocheilus hieracioides;EN;Portaria MMA N. 148/2022
Holocheilus monocephalus;EN;Portaria MMA N. 148/2022
Hololepis hatschbachii;CR;Portaria MMA N. 148/2022
Hysterionica pinnatiloba;EN;Portaria MMA N. 148/2022
Hysterionica pinnatisecta;CR;Portaria MMA N. 148/2022
Ianthopappus corymbosus;CR;Portaria MMA N. 148/2022
Ichthyothere elliptica;EN;Portaria MMA N. 148/2022
Lepidaploa almasensis;CR;Portaria MMA N. 148/2022
Lepidaploa araujoa;CR;Portaria MMA N. 148/2022
Lepidaploa gnaphalioides;EN;Portaria MMA N. 148/2022
Lepidaploa obtusifolia;EN;Portaria MMA N. 148/2022
